user_id,username,email,first_name,last_name,date_joined,customer_segment,is_returning_flag,preferred_device
6001,sneha.mehta.f5842e,sneha.mehta.f5842e@trendlytics.io,Sneha,Mehta,2026-08-24 20:58:21.924496,trendsetter,0,desktop
6002,rahul.verma.3a27c0,rahul.verma.3a27c0@trendlytics.io,Rahul,Verma,2026-08-03 20:58:21.924496,luxury,1,mobile
6003,rohan.iyer.0c2fcf,rohan.iyer.0c2fcf@trendlytics.io,Rohan,Iyer,2026-08-12 20:58:21.924496,luxury,1,desktop
6004,karan.verma.a69a86,karan.verma.a69a86@trendlytics.io,Karan,Verma,2026-08-10 20:58:21.924496,luxury,0,mobile
6005,meera.gupta.7a6c0e,meera.gupta.7a6c0e@trendlytics.io,Meera,Gupta,2026-08-27 20:58:21.924496,budget,0,mobile
6006,priya.das.851e17,priya.das.851e17@trendlytics.io,Priya,Das,2026-07-30 20:58:21.924496,trendsetter,1,desktop
6007,tanvi.iyer.f18754,tanvi.iyer.f18754@trendlytics.io,Tanvi,Iyer,2026-08-09 20:58:21.924496,occasional,1,mobile
6008,sneha.banerjee.712a5d,sneha.banerjee.712a5d@trendlytics.io,Sneha,Banerjee,2026-08-10 20:58:21.924496,luxury,0,mobile
6009,vikram.verma.cf267e,vikram.verma.cf267e@trendlytics.io,Vikram,Verma,2026-07-30 20:58:21.924496,trendsetter,1,mobile
6010,kabir.singh.abc709,kabir.singh.abc709@trendlytics.io,Kabir,Singh,2026-08-20 20:58:21.924496,luxury,0,mobile
6011,rohan.mehta.ae7623,rohan.mehta.ae7623@trendlytics.io,Rohan,Mehta,2026-08-17 20:58:21.924496,trendsetter,1,desktop
6012,rahul.reddy.15b811,rahul.reddy.15b811@trendlytics.io,Rahul,Reddy,2026-08-25 20:58:21.924496,occasional,0,desktop
6013,aditya.sen.a83a4d,aditya.sen.a83a4d@trendlytics.io,Aditya,Sen,2026-08-05 20:58:21.924496,occasional,0,mobile
6014,sneha.mehta.23a5e2,sneha.mehta.23a5e2@trendlytics.io,Sneha,Mehta,2026-08-03 20:58:21.924496,luxury,0,mobile
6015,aditya.sen.e9446e,aditya.sen.e9446e@trendlytics.io,Aditya,Sen,2026-08-16 20:58:21.924496,budget,1,desktop
6016,sneha.gupta.4f5dc9,sneha.gupta.4f5dc9@trendlytics.io,Sneha,Gupta,2026-08-20 20:58:21.924496,occasional,0,mobile
6017,sneha.iyer.d49c1b,sneha.iyer.d49c1b@trendlytics.io,Sneha,Iyer,2026-08-19 20:58:21.924496,trendsetter,0,mobile
6018,aarav.verma.dd9cc2,aarav.verma.dd9cc2@trendlytics.io,Aarav,Verma,2026-08-07 20:58:21.924496,budget,0,desktop
6019,sneha.banerjee.358e44,sneha.banerjee.358e44@trendlytics.io,Sneha,Banerjee,2026-08-09 20:58:21.924496,luxury,0,desktop
6020,rahul.kapoor.e7bc8f,rahul.kapoor.e7bc8f@trendlytics.io,Rahul,Kapoor,2026-08-22 20:58:21.924496,luxury,0,mobile
6021,arjun.sen.7ac239,arjun.sen.7ac239@trendlytics.io,Arjun,Sen,2026-08-05 20:58:21.924496,budget,0,mobile
6022,arjun.gupta.028e89,arjun.gupta.028e89@trendlytics.io,Arjun,Gupta,2026-08-12 20:58:21.924496,budget,0,mobile
6023,aarav.gupta.e6f5d2,aarav.gupta.e6f5d2@trendlytics.io,Aarav,Gupta,2026-08-06 20:58:21.924496,budget,1,desktop
6024,pooja.singh.29ee69,pooja.singh.29ee69@trendlytics.io,Pooja,Singh,2026-08-12 20:58:21.924496,luxury,1,mobile
6025,rohan.singh.344080,rohan.singh.344080@trendlytics.io,Rohan,Singh,2026-08-07 20:58:21.924496,budget,0,desktop
6026,sneha.das.13883b,sneha.das.13883b@trendlytics.io,Sneha,Das,2026-08-09 20:58:21.924496,budget,1,desktop
6027,sneha.nair.d6633b,sneha.nair.d6633b@trendlytics.io,Sneha,Nair,2026-08-29 20:58:21.924496,luxury,1,mobile
6028,rahul.mehta.2d682f,rahul.mehta.2d682f@trendlytics.io,Rahul,Mehta,2026-08-16 20:58:21.924496,budget,0,mobile
6029,riya.gupta.d2ede2,riya.gupta.d2ede2@trendlytics.io,Riya,Gupta,2026-08-27 20:58:21.924496,occasional,1,mobile
6030,vikram.banerjee.7d9eca,vikram.banerjee.7d9eca@trendlytics.io,Vikram,Banerjee,2026-08-20 20:58:21.924496,luxury,0,tablet
6031,priya.iyer.b98e50,priya.iyer.b98e50@trendlytics.io,Priya,Iyer,2026-08-13 20:58:21.924496,trendsetter,0,mobile
6032,arjun.gupta.a97ff8,arjun.gupta.a97ff8@trendlytics.io,Arjun,Gupta,2026-08-21 20:58:21.924496,occasional,0,mobile
6033,arjun.mehta.ff8a68,arjun.mehta.ff8a68@trendlytics.io,Arjun,Mehta,2026-08-22 20:58:21.924496,occasional,1,mobile
6034,ananya.banerjee.086fe2,ananya.banerjee.086fe2@trendlytics.io,Ananya,Banerjee,2026-08-14 20:58:21.924496,trendsetter,1,desktop
6035,ananya.singh.ecfc84,ananya.singh.ecfc84@trendlytics.io,Ananya,Singh,2026-08-10 20:58:21.924496,budget,0,mobile
6036,rohan.reddy.9188ce,rohan.reddy.9188ce@trendlytics.io,Rohan,Reddy,2026-07-31 20:58:21.924496,budget,1,desktop
